Comment,Designator,Footprint,Part #
4.9152MHz,Y1,9C4000MAAJT, ABLS2-4.9152MHZ-D4Y-T
0.1uF,C2 C3 C4,C0805K,CC0805KRX7R9BB104
0.01uF,C1 C5 C11,C0805K,C0805Y103K9RAC7800
0.47uF,C6,C1210,VJ1210Y474KXXAT
1,R3,R0603,RC0603FR-071RP
4.7k,R7 R8,R0603,RC0603FR-074K7P
10,R1,R0603,RC0603FR-0710RP
10uF,C7 C8 C9 C10,C2012,TAJP106K010RNJ
24AA256-I_MF,U3,SON127P600X500X100-9N,
33,R4 R5 R6,R0603,RC0603FR-0733RP
100,R2,R0603,RC0603FR-07100RL
AD7730BR,U1,SOIC127P1032X265-24N,
ADP3301ARZ-5,U2,SOIC127P600X175-8N,
SM04B-SRSS-TB_LF__SN_,J3,SM04B-SRSS-TB(LFSN),
SM06B-SRSS-TB__LF__SN_,J2,SM06B-SRSS-TB,
